"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";14;1
"Building";"SupplyDepot";NA;13;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";15;1
"Building";"Refinery";NA;15;0
"Unit";"SCV";"Command Center";16;1
"Unit";"SCV";"Command Center";17;1
"Building";"Barracks";NA;15;0
"Unit";"Marine";"Barracks";19;1
"Building";"Refinery";NA;19;0
"Building";"Bunker";NA;19;0
"Building";"SupplyDepot";NA;19;0
"Unit";"SCV";"Command Center";19;1
"Unit";"Marine";"Barracks";19;1
"Unit";"SCV";"Command Center";21;1
"Unit";"Marine";"Barracks";21;1
"Building";"Factory";NA;19;0
"Unit";"SCV";"Command Center";23;1
"Building";"SupplyDepot";NA;23;0
"Unit";"Marine";"Barracks";23;1
"Unit";"SCV";"Command Center";26;1
"Unit";"Cyclone";"Factory";25;3
"Unit";"Marine";"Barracks";25;1
"Building";"Starport";NA;25;0
"Building";"Bunker";NA;25;0
"Building";"SupplyDepot";NA;26;0
"Building";"SupplyDepot";NA;31;0
"Building";"StarportTechLab";NA;31;0
"Unit";"Cyclone";"Factory";31;3
"Unit";"Banshee";"Starport";31;3
"Unit";"Cyclone";"Factory";34;3
"Unit";"SCV";"Command Center";40;1
"Unit";"Cyclone";"Factory";40;3
"Unit";"SCV";"Command Center";41;1
"Unit";"Banshee";"Starport";40;3
