"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Building";"Refinery";NA;14;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";16;1
"Unit";"SCV";"Command Center";17;1
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Unit";"SCV";"Command Center";19;1
"Unit";"SCV";"Command Center";20;1
"Building";"SupplyDepot";NA;20;0
"Unit";"Reaper";"Barracks";20;1
"Unit";"SCV";"Command Center";22;1
"Building";"Refinery";NA;21;0
"Building";"Factory";NA;20;0
"Building";"SupplyDepot";NA;22;0
"Unit";"SCV";"Command Center";23;1
"Building";"CommandCenter";NA;19;0
"Unit";"Hellion";"Factory";24;2
"Unit";"SCV";"Command Center";24;1
"Building";"BarracksReactor";NA;23;0
"Unit";"SCV";"Command Center";27;1
"Building";"Starport";NA;24;0
"Unit";"SCV";"Command Center";28;1
"Unit";"Marine";"Barracks";28;1
"Unit";"Marine";"Barracks";28;1
"Unit";"Cyclone";"Factory";29;3
"Unit";"SCV";"Command Center";32;1
"Building";"SupplyDepot";NA;29;0
"Unit";"Marine";"Barracks";32;1
"Unit";"Marine";"Barracks";32;1
"Building";"EngineeringBay";NA;32;0
"Unit";"SCV";"Command Center";38;1
"Unit";"SCV";"Command Center";38;1
"Building";"SupplyDepot";NA;38;0
"Unit";"Marine";"Barracks";38;1
"Unit";"Marine";"Barracks";38;1
"Unit";"SCV";"Command Center";40;1
"Building";"MissileTurret";NA;40;0
"Unit";"SCV";"Command Center";43;1
"Unit";"SCV";"Command Center";43;1
"Building";"FactoryTechLab";NA;40;0
"Unit";"SCV";"Command Center";43;1
"Building";"MissileTurret";NA;43;0
"Unit";"SCV";"Command Center";45;1
"Unit";"Marine";"Barracks";43;1
"Unit";"Marine";"Barracks";43;1
