"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Building";"Refinery";NA;14;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";16;1
"Unit";"SCV";"Command Center";17;1
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Unit";"SCV";"Command Center";19;1
"Unit";"SCV";"Command Center";20;1
"Building";"SupplyDepot";NA;20;0
"Unit";"Reaper";"Barracks";19;1
"Unit";"SCV";"Command Center";22;1
"Unit";"SCV";"Command Center";23;1
"Building";"Refinery";NA;22;0
"Building";"CommandCenter";NA;19;0
"Building";"Factory";NA;21;0
"Unit";"SCV";"Command Center";24;1
"Building";"BarracksReactor";NA;23;0
"Unit";"SCV";"Command Center";25;1
"Unit";"Hellion";"Factory";25;2
"Unit";"SCV";"Command Center";26;1
"Unit";"Marine";"Barracks";27;1
"Unit";"Marine";"Barracks";27;1
"Unit";"SCV";"Command Center";29;1
"Unit";"SCV";"Command Center";30;1
"Building";"Starport";NA;26;0
"Unit";"Marine";"Barracks";30;1
"Unit";"Marine";"Barracks";31;1
"Unit";"SCV";"Command Center";32;1
"Unit";"SCV";"Command Center";33;1
"Unit";"Cyclone";"Factory";32;3
"Building";"SupplyDepot";NA;34;0
"Unit";"SCV";"Command Center";36;1
"Unit";"SCV";"Command Center";37;1
"Unit";"SCV";"Command Center";41;1
"Unit";"Marine";"Barracks";41;1
"Building";"FactoryTechLab";NA;41;0
"Unit";"Marine";"Barracks";41;1
"Unit";"SCV";"Command Center";43;1
"Building";"EngineeringBay";NA;41;0
"Unit";"SCV";"Command Center";43;1
"Unit";"SCV";"Command Center";46;1
"Building";"SupplyDepot";NA;43;0
"Unit";"Marine";"Barracks";47;1
"Unit";"Marine";"Barracks";47;1
"Unit";"SCV";"Command Center";47;1
